dataset,mode,rep,build_s,qps,recall,visited,qps_cv,provider_s
ada002-100k,asymmetric-cached,1,19.062567521,150638.30920807895,0.86243,547.9675,1.3794590964550122,0.720251
cohere-english-v3-100k,asymmetric-cached,1,14.910241575,231653.94557050234,0.82729,657.4614,3.453374124251149,0.324744
e5-large-v2-100k,asymmetric-cached,1,15.278566978,219437.87965171272,0.81166,668.5197,2.012703348778286,0.308676
ada002-1M,asymmetric-cached,1,222.707469286,131708.20389569228,0.82501,751.7288,5.299918739807189,5.510627
cohere-english-v3-1M,asymmetric-cached,1,308.143331078,221832.42654368113,0.69536,883.0375,4.083988556683095,1.484941
cap-1M,asymmetric-cached,1,207.220140035,133480.11597603708,0.7895,757.8936,6.853695150484436,5.783209
cap-1M,asymmetric-cached,2,207.996352629,147046.0693958429,0.78781,750.4877,1.6034492683831063,5.626615
cohere-english-v3-1M,asymmetric-cached,2,155.049321232,240774.58995543895,0.69493,890.907,1.8581733690493571,1.429855
ada002-1M,asymmetric-cached,2,229.365798497,84947.42036576896,0.82422,752.1287,3.5711789391588313,5.794614
e5-large-v2-100k,asymmetric-cached,2,15.478295209,222987.4528446198,0.81012,669.5041,2.8123015639604487,0.334623
cohere-english-v3-100k,asymmetric-cached,2,15.296824291,227276.05582969685,0.82779,653.8773,2.4048198767111466,0.29074
ada002-100k,asymmetric-cached,2,18.888044342,137221.1547473062,0.86242,545.7134,1.0185284705650302,0.720043
