dataset,mode,rep,build_s,qps,recall,visited,qps_cv,provider_s
ada002-100k,baseline,1,11.563925809,128133.40927762356,0.83461,564.3859,1.110392783753509,0
ada002-100k,symmetric,1,13.976677912,135293.41978232944,0.86364,542.6461,1.2520330791002383,0.298638
cohere-english-v3-100k,baseline,1,11.920247309,219171.92318082254,0.81607,650.7273,6.416266613052947,0
cohere-english-v3-100k,symmetric,1,12.742506519,235272.91324787997,0.82895,644.3192,2.195856352720201,0.193623
e5-base-v2-100k,baseline,1,10.163011807,321335.2472272473,0.77881,646.0268,3.2949920500847996,0
e5-base-v2-100k,symmetric,1,11.288730394,322348.0309277013,0.78983,644.3812,2.5996258123386653,0.150881
e5-large-v2-100k,baseline,1,12.967752424,235847.15578126197,0.78072,656.2855,4.337714196878359,0
e5-large-v2-100k,symmetric,1,12.293223491,218999.23444991774,0.81132,663.6025,1.0085956673754617,0.201756
e5-small-v2-100k,baseline,1,8.448564154,579677.7373333726,0.59323,717.2814,2.481837237318503,0
e5-small-v2-100k,symmetric,1,9.586961812,571372.0860323014,0.60474,694.6828,2.6233208197508455,0.076015
gecko-100k,baseline,1,8.353635419,333785.6857949328,0.78486,659.703,1.2423567759233953,0
gecko-100k,symmetric,1,11.17258453,330961.81152381445,0.80384,674.6207,3.3530395938281887,0.150993
openai-v3-large-1536-100k,baseline,1,16.19114714,128625.47979776154,0.86642,514.8725,7.611520119511065,0
openai-v3-large-1536-100k,symmetric,1,13.534156892,142614.32964480369,0.87934,502.3617,0.5289835042525478,0.301922
openai-v3-large-3072-100k,baseline,1,16.664105234,45532.79702228551,0.89502,509.3317,4.857718673541916,0
openai-v3-large-3072-100k,symmetric,1,20.948994785,46111.57765970198,0.91135,497.8579,0.7756766910829613,0.571658
openai-v3-small-1536-100k,baseline,1,10.985525643,132321.22709798117,0.85159,539.8539,2.404656968140009,0
openai-v3-small-1536-100k,symmetric,1,13.807036565,140884.70286009577,0.86757,534.4987,2.427578309650972,0.290641
ada002-100k,symmetric,2,14.580490042,131969.47669913192,0.86386,546.0476,1.7248588981180986,0.306431
ada002-100k,baseline,2,11.981172058,136106.2708997775,0.84332,552.6875,2.148493081399691,0
cohere-english-v3-100k,symmetric,2,12.239456559,218271.54512359714,0.82702,643.8008,5.724098326799852,0.206087
cohere-english-v3-100k,baseline,2,11.711900771,225327.01805467263,0.8147,648.8847,1.0947403115083671,0
e5-base-v2-100k,symmetric,2,10.200328798,413069.1513778616,0.78879,645.3975,0.5114132632204597,0.148046
e5-base-v2-100k,baseline,2,10.061538823,310434.6033447739,0.77734,650.337,2.243410455220526,0
e5-large-v2-100k,symmetric,2,12.047909709,251813.06184014358,0.81257,668.6171,0.954623441783475,0.193218
e5-large-v2-100k,baseline,2,11.377263422,198062.82246446874,0.78922,659.9321,1.6239998342060038,0
e5-small-v2-100k,symmetric,2,8.544671915,552494.9813362691,0.60354,688.3396,2.2746895827147022,0.074423
e5-small-v2-100k,baseline,2,8.094338923,590912.5878094168,0.59194,721.0227,1.4747756773193148,0
gecko-100k,symmetric,2,11.233076168,370218.64661124424,0.80413,672.4625,1.5236913815301771,0.151427
gecko-100k,baseline,2,10.251034801,390576.81954583235,0.78489,660.8607,1.175281286750001,0
openai-v3-large-1536-100k,symmetric,2,13.605731306,143170.37106488296,0.87952,499.516,3.172266381600221,0.298886
openai-v3-large-1536-100k,baseline,2,13.15607144,128641.47954605563,0.8659,517.8566,5.519978561362939,0
openai-v3-large-3072-100k,symmetric,2,20.491915231,46947.548523567304,0.91144,499.5414,2.888381824309649,0.60297
openai-v3-large-3072-100k,baseline,2,18.410612637,44932.711712325356,0.89666,507.5203,1.1598763127760914,0
openai-v3-small-1536-100k,symmetric,2,13.660567867,157711.7566109329,0.86719,532.6686,1.2291076736510924,0.303335
openai-v3-small-1536-100k,baseline,2,13.654421596,133767.7879151411,0.85084,542.4316,2.796080469652006,0
ada002-1M,baseline,1,128.024840629,122500.09915563895,0.79495,773.9812,1.109027052536163,0
ada002-1M,symmetric,1,159.359565626,133700.257710118,0.82656,742.8768,0.6300371060924892,2.870145
cohere-english-v3-1M,baseline,1,244.790835916,197088.91836877936,0.63769,893.0455,1.2240737403354007,0
cohere-english-v3-1M,symmetric,1,124.396110455,216640.72177507152,0.69621,894.964,0.5314395893423304,1.870582
cap-1M,baseline,1,125.077205941,125473.95949366484,0.73663,760.8866,0.4379570774346236,0
cap-1M,symmetric,1,141.178990091,142809.93692013,0.78746,750.1225,0.44767066363590347,2.918257
ada002-1M,symmetric,2,150.705520182,136171.694616978,0.82682,747.8467,1.169995543264484,2.861839
ada002-1M,baseline,2,128.88373143,122884.11737802878,0.7905,772.5621,0.26386216198655665,0
cohere-english-v3-1M,symmetric,2,114.995056094,213219.87925304964,0.69643,884.2188,1.60117178767442,1.87581
cohere-english-v3-1M,baseline,2,135.07986109,219249.3567696565,0.65126,883.5158,0.3492137374999325,0
cap-1M,symmetric,2,153.133362125,139040.26147924952,0.79033,753.2187,1.4794840301794259,2.921004
cap-1M,baseline,2,130.060055604,125743.95169939703,0.7294,764.4218,1.0602563210175113,0
