dataset,bits,mode,mdot_s,ns_pair,recall,queries
ada002,2,asymmetric-block-simd,21.495776,46.521,0.8808,1000
ada002,2,asymmetric-single-simd,5.513374,181.377,0.8808,1000
ada002,2,symmetric-block-scalar,2.419918,413.237,0.8437,1000
ada002,2,symmetric-block-simd,30.849219,32.416,0.8437,1000
ada002,2,symmetric-single-scalar,8.866285,112.787,0.8437,1000
ada002,2,symmetric-single-simd,22.054206,45.343,0.8437,1000
cohere_english_v3,1,asymmetric-block-simd,12.404803,80.614,0.7891,1000
cohere_english_v3,1,asymmetric-single-simd,18.87169,52.989,0.7891,1000
cohere_english_v3,1,symmetric-block-scalar,83.872673,11.923,0.6931,1000
cohere_english_v3,1,symmetric-block-simd,84.57992,11.823,0.6931,1000
cohere_english_v3,1,symmetric-single-scalar,71.156303,14.054,0.6931,1000
cohere_english_v3,1,symmetric-single-simd,103.800972,9.634,0.6931,1000
cohere_english_v3,2,asymmetric-block-simd,33.083916,30.226,0.853,1000
cohere_english_v3,2,asymmetric-single-simd,8.052505,124.185,0.853,1000
cohere_english_v3,2,symmetric-block-scalar,3.954008,252.908,0.8045,1000
cohere_english_v3,2,symmetric-block-simd,37.979327,26.33,0.8045,1000
cohere_english_v3,2,symmetric-single-scalar,13.813492,72.393,0.8045,1000
cohere_english_v3,2,symmetric-single-simd,29.763263,33.598,0.8045,1000
cohere_english_v3,4,asymmetric-block-simd,33.161011,30.156,0.8036,1000
cohere_english_v3,4,asymmetric-single-simd,14.796965,67.581,0.8036,1000
cohere_english_v3,4,symmetric-block-scalar,3.961422,252.435,0.7938,1000
cohere_english_v3,4,symmetric-block-simd,43.79741,22.832,0.7938,1000
cohere_english_v3,4,symmetric-single-scalar,8.252719,121.172,0.7938,1000
cohere_english_v3,4,symmetric-single-simd,18.346236,54.507,0.7938,1000
e5_large_v2,2,asymmetric-block-simd,32.756876,30.528,0.8395,1000
e5_large_v2,2,asymmetric-single-simd,8.113795,123.247,0.8395,1000
e5_large_v2,2,symmetric-block-scalar,3.934209,254.181,0.7877,1000
e5_large_v2,2,symmetric-block-simd,38.003571,26.313,0.7877,1000
e5_large_v2,2,symmetric-single-scalar,14.440238,69.251,0.7877,1000
e5_large_v2,2,symmetric-single-simd,29.673568,33.7,0.7877,1000
