name,dataset,D,d,bits,mode,rep,code_bytes,threads,overquery,build_s,qps,recall,visited,qps_cv,train_s,encode_s,nvq_s,provider_s,log
ada002-1M-b2-ash-r1,ada002-1M,1536,768,2,ASH,1,197,1,1.0,157.840009863,2177.8102536704814,0.82642,743.6996,2.089696662700664,9.230167,7.706519616,0.546488417,2.95154,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r1/query-1.log
ada002-1M-b2-ash-r1,ada002-1M,1536,768,2,ASH,1,197,1,2.0,157.840009863,2072.775696510429,0.95953,1099.5859,0.6538369048721234,9.230167,7.706519616,0.546488417,2.95154,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r1/query-1.log
ada002-1M-b2-ash-r1,ada002-1M,1536,768,2,ASH,1,197,48,1.0,,95956.71345138094,0.82642,743.6996,1.504784845208021,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r1/query-48.log
ada002-1M-b2-ash-r1,ada002-1M,1536,768,2,ASH,1,197,48,2.0,,74038.29496332126,0.95953,1099.5859,0.2560122257189981,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-ash-r1/query-48.log
ada002-1M-b2-pq-r1,ada002-1M,1536,768,2,PQ,1,197,1,1.0,305.357773341,2505.50863765249,0.60969,777.0072,3.3329151504713037,6.223289688,4.361790065,0.51526343,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r1/query-1.log
ada002-1M-b2-pq-r1,ada002-1M,1536,768,2,PQ,1,197,1,2.0,305.357773341,2070.9961907891375,0.81301,1088.5782,0.6403227236256307,6.223289688,4.361790065,0.51526343,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r1/query-1.log
ada002-1M-b2-pq-r1,ada002-1M,1536,768,2,PQ,1,197,48,1.0,,98002.36666217295,0.60969,777.0072,0.4664038965243055,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r1/query-48.log
ada002-1M-b2-pq-r1,ada002-1M,1536,768,2,PQ,1,197,48,2.0,,83275.93656993553,0.81301,1088.5782,2.4477334633540697,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b2-pq-r1/query-48.log
ada002-1M-b4-ash-r1,ada002-1M,1536,768,4,ASH,1,389,1,1.0,227.142034764,1885.1372911497197,0.88774,712.952,8.466917289018335,8.071419789,5.700532906,0.497370085,3.051166,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r1/query-1.log
ada002-1M-b4-ash-r1,ada002-1M,1536,768,4,ASH,1,389,1,2.0,227.142034764,1694.774941404327,0.96112,1036.2085,1.440621537569398,8.071419789,5.700532906,0.497370085,3.051166,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r1/query-1.log
ada002-1M-b4-ash-r1,ada002-1M,1536,768,4,ASH,1,389,48,1.0,,78535.16386753105,0.88774,712.952,1.0498522055276105,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r1/query-48.log
ada002-1M-b4-ash-r1,ada002-1M,1536,768,4,ASH,1,389,48,2.0,,58078.37660324255,0.96112,1036.2085,1.0265098943456157,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-ash-r1/query-48.log
ada002-1M-b4-pq-r1,ada002-1M,1536,768,4,PQ,1,389,1,1.0,471.033761676,2296.391366518768,0.78046,743.3911,3.454129477444065,6.66483986,4.78256411,0.619976129,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r1/query-1.log
ada002-1M-b4-pq-r1,ada002-1M,1536,768,4,PQ,1,389,1,2.0,471.033761676,1844.3575579359417,0.94212,1075.2136,0.5016351987560125,6.66483986,4.78256411,0.619976129,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r1/query-1.log
ada002-1M-b4-pq-r1,ada002-1M,1536,768,4,PQ,1,389,48,1.0,,88588.06947666063,0.78046,743.3911,1.2252863478487552,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r1/query-48.log
ada002-1M-b4-pq-r1,ada002-1M,1536,768,4,PQ,1,389,48,2.0,,69034.79529813363,0.94212,1075.2136,0.3523116662786264,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/ada002-1M-b4-pq-r1/query-48.log
cap-1M-b2-ash-r1,cap-1M,1536,768,2,ASH,1,197,1,1.0,144.164132004,2442.48519676128,0.7918,752.783,6.871960701628724,9.336766347,7.555819332,0.49760735,3.01653,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r1/query-1.log
cap-1M-b2-ash-r1,cap-1M,1536,768,2,ASH,1,197,1,2.0,144.164132004,1969.1891971271289,0.94435,1099.8606,1.0289141912055246,9.336766347,7.555819332,0.49760735,3.01653,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r1/query-1.log
cap-1M-b2-ash-r1,cap-1M,1536,768,2,ASH,1,197,48,1.0,,95279.65361270042,0.7918,752.783,0.9853988466271536,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r1/query-48.log
cap-1M-b2-ash-r1,cap-1M,1536,768,2,ASH,1,197,48,2.0,,78168.15369319917,0.94435,1099.8606,0.552073063676741,,,0.0,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-ash-r1/query-48.log
cap-1M-b2-pq-r1,cap-1M,1536,768,2,PQ,1,197,1,1.0,234.99586654,2582.7721961649463,0.57832,725.6598,3.9486382814193726,17.339142317,4.496241169,0.495377823,0,/mnt/raid10/jvector-bench/ted_willke/figure9-graph/cap-1M-b2-pq-r1/query-1.log
